retailer_id,distributor_id,financial_year_id,order_date,order_status,total_amount
98,11,1,2024-10-03,Delivered,14432.0
52,11,1,2024-05-01,Delivered,9294.56
104,8,1,2024-09-26,Confirmed,5971.68
52,15,1,2024-10-20,Delivered,17806.8
40,9,1,2025-01-18,Delivered,7933.2
39,19,1,2024-09-28,Dispatched,23041.92
63,11,1,2024-06-29,Dispatched,3773.44
31,23,1,2024-04-11,Confirmed,5720.88
26,20,1,2024-08-23,Delivered,2745.6
94,2,1,2024-06-06,Delivered,506.88
104,19,1,2024-09-22,Delivered,5363.6
83,1,1,2025-02-22,Dispatched,902.0
42,24,1,2024-04-14,Delivered,13851.2
54,2,1,2024-05-15,Delivered,14829.76
119,11,1,2025-01-14,Delivered,23640.32
43,6,1,2024-05-18,Confirmed,4931.52
108,3,1,2024-10-01,Dispatched,18043.52
74,11,1,2024-07-27,Delivered,19173.44
99,18,1,2025-03-28,Dispatched,8911.76
13,21,1,2024-10-03,Confirmed,9673.84
80,5,1,2024-06-02,Confirmed,13864.4
116,6,1,2024-06-22,Delivered,10216.8
91,8,1,2024-11-13,Dispatched,5313.44
28,11,1,2024-04-14,Confirmed,9313.92
83,13,1,2025-03-12,Dispatched,4798.64
49,14,1,2024-10-10,Delivered,6079.92
91,14,1,2024-08-02,Confirmed,11603.68
39,16,1,2024-07-20,Delivered,14938.88
97,5,1,2024-09-01,Dispatched,479.6
63,8,1,2024-06-22,Dispatched,12964.16
6,25,1,2024-11-11,Confirmed,7330.4
117,10,1,2024-06-17,Delivered,19880.08
12,14,1,2024-09-21,Delivered,10486.08
2,2,1,2024-06-09,Delivered,13588.08
113,4,1,2024-06-01,Dispatched,2478.08
29,22,1,2025-01-02,Confirmed,9179.28
10,9,1,2025-03-27,Confirmed,3310.56
9,2,1,2024-07-10,Delivered,3581.6
72,12,1,2024-08-15,Confirmed,5283.52
71,11,1,2025-03-20,Dispatched,14380.96
20,13,1,2024-10-15,Dispatched,2807.2
65,9,1,2025-03-22,Delivered,19647.76
5,23,1,2024-04-26,Dispatched,19759.52
61,24,1,2025-02-26,Dispatched,36585.12
49,12,1,2025-03-31,Confirmed,10661.2
81,18,1,2025-03-07,Confirmed,21262.56
62,19,1,2024-07-23,Confirmed,1337.6
47,17,1,2024-07-14,Delivered,5459.52
20,22,1,2024-11-22,Confirmed,1888.48
47,14,1,2024-06-02,Dispatched,3453.12
47,12,1,2025-03-06,Delivered,13918.08
58,21,1,2024-12-01,Delivered,7149.12
88,5,1,2024-10-05,Dispatched,11970.64
26,1,1,2025-01-18,Dispatched,2914.56
40,23,1,2025-01-04,Dispatched,10320.64
68,21,1,2024-12-09,Confirmed,13640.0
100,12,1,2024-04-23,Delivered,19907.36
83,20,1,2024-08-10,Dispatched,12875.28
119,20,1,2024-07-08,Delivered,11302.72
49,13,1,2024-12-26,Dispatched,19954.0
90,14,1,2024-10-30,Dispatched,12426.48
18,17,1,2024-04-05,Delivered,7733.44
6,22,1,2024-08-29,Delivered,7379.68
29,3,1,2025-01-18,Confirmed,853.6
109,25,1,2024-07-20,Delivered,15785.44
8,18,1,2025-03-20,Delivered,16434.88
42,11,1,2024-07-07,Delivered,6314.88
36,17,1,2024-08-13,Confirmed,14023.68
51,17,1,2024-11-02,Delivered,4097.28
32,13,1,2024-11-10,Delivered,4628.8
84,12,1,2024-11-24,Delivered,16485.92
72,22,1,2024-04-27,Delivered,17190.8
42,2,1,2024-08-19,Confirmed,16337.2
120,24,1,2024-11-14,Confirmed,4321.68
82,4,1,2024-04-26,Confirmed,6336.0
24,1,1,2025-01-13,Delivered,9655.36
87,24,1,2024-08-29,Confirmed,21511.6
101,3,1,2024-04-26,Dispatched,13293.28
116,15,1,2025-03-18,Dispatched,4348.96
21,15,1,2024-08-29,Confirmed,23512.72
28,5,1,2025-03-07,Confirmed,9460.0
70,23,1,2024-05-18,Confirmed,11179.52
5,12,1,2024-06-02,Delivered,4189.68
38,16,1,2024-09-26,Confirmed,21235.28
97,3,1,2024-07-13,Confirmed,12136.96
75,20,1,2024-05-22,Confirmed,10107.68
43,12,1,2024-11-17,Dispatched,7339.2
15,10,1,2024-05-06,Delivered,18036.48
5,2,1,2024-04-21,Delivered,18760.72
48,24,1,2025-03-06,Delivered,3550.8
43,1,1,2025-02-25,Dispatched,3594.8
20,16,1,2024-08-17,Delivered,14534.96
47,7,1,2024-08-24,Dispatched,8609.04
7,16,1,2025-03-26,Delivered,4236.32
97,6,1,2024-06-18,Dispatched,2349.6
80,17,1,2024-05-27,Dispatched,8338.0
66,23,1,2024-05-02,Confirmed,5605.6
13,2,1,2024-07-20,Delivered,6087.84
98,15,1,2025-01-29,Confirmed,5074.08
101,14,1,2024-04-17,Confirmed,5026.56
22,5,1,2024-09-24,Confirmed,4278.56
91,3,1,2024-04-02,Dispatched,3243.68
100,11,1,2024-05-06,Delivered,8236.8
81,2,1,2024-10-05,Dispatched,7744.0
45,19,1,2024-06-23,Dispatched,11172.48
101,22,1,2025-01-28,Confirmed,26106.96
69,21,1,2025-02-18,Confirmed,2611.84
108,8,1,2024-08-01,Confirmed,17556.0
101,13,1,2025-02-15,Delivered,12213.52
108,11,1,2025-03-06,Delivered,9039.36
61,14,1,2024-10-28,Delivered,4551.36
46,13,1,2024-11-25,Delivered,4232.8
12,9,1,2024-07-05,Delivered,17774.24
81,2,1,2024-10-10,Confirmed,15688.64
79,13,1,2024-09-05,Dispatched,16200.8
68,1,1,2024-04-01,Confirmed,1316.48
73,22,1,2024-08-07,Delivered,16838.8
86,13,1,2024-06-09,Dispatched,16096.96
40,22,1,2025-03-30,Delivered,9408.96
89,1,1,2024-04-30,Delivered,2883.76
58,10,1,2024-12-19,Confirmed,14170.64
76,19,1,2024-12-17,Confirmed,22828.08
38,25,1,2025-01-04,Confirmed,9865.68
91,12,1,2025-03-20,Dispatched,20424.8
69,12,1,2024-06-11,Confirmed,16976.96
39,13,1,2024-10-02,Delivered,4247.76
80,11,1,2024-11-11,Dispatched,3215.52
47,13,1,2024-09-11,Dispatched,15818.88
21,25,1,2024-09-09,Confirmed,13842.4
85,18,1,2025-03-10,Dispatched,1742.4
47,23,1,2024-10-20,Delivered,8211.28
6,18,1,2025-03-24,Delivered,12987.92
113,18,1,2024-05-20,Delivered,12840.08
96,23,1,2024-05-31,Dispatched,19683.84
111,6,1,2025-03-31,Confirmed,9105.36
119,14,1,2024-05-05,Delivered,7568.88
31,19,1,2024-11-08,Dispatched,11407.44
109,22,1,2024-06-07,Confirmed,10516.88
65,4,1,2024-08-23,Confirmed,10127.92
92,3,1,2025-02-03,Delivered,19644.24
11,12,1,2024-04-12,Delivered,23522.4
36,17,1,2024-05-01,Dispatched,20493.44
38,21,1,2024-09-22,Dispatched,7595.28
29,25,1,2024-06-28,Confirmed,15852.32
52,13,1,2024-12-19,Delivered,14362.48
33,3,1,2025-02-23,Dispatched,23940.4
25,4,1,2024-10-24,Confirmed,7154.4
57,25,1,2024-07-11,Delivered,4031.28
97,23,1,2024-08-30,Delivered,2917.2
79,24,1,2024-04-09,Confirmed,17074.64
96,21,1,2025-01-01,Dispatched,26578.64
95,6,1,2025-03-20,Dispatched,12540.88
110,5,1,2024-10-04,Dispatched,20231.2
73,9,1,2024-12-17,Dispatched,5475.36
117,7,1,2025-03-30,Dispatched,9203.92
15,7,1,2025-01-25,Delivered,11893.2
69,3,1,2024-09-13,Dispatched,19129.44
49,4,1,2024-05-21,Delivered,6200.48
