product_id,mrp,distributor_price,retailer_price,effective_from
149,127,95.25,111.76,2024-01-01
150,248,186.0,218.24,2024-01-01
151,191,143.25,168.08,2024-01-01
152,207,155.25,182.16,2024-01-01
153,200,150.0,176.0,2024-01-01
154,245,183.75,215.6,2024-01-01
155,167,125.25,146.96,2024-01-01
156,150,112.5,132.0,2024-01-01
157,150,112.5,132.0,2024-01-01
158,244,183.0,214.72,2024-01-01
159,165,123.75,145.2,2024-01-01
160,208,156.0,183.04,2024-01-01
161,31,23.25,27.28,2024-01-01
162,249,186.75,219.12,2024-01-01
163,36,27.0,31.68,2024-01-01
164,141,105.75,124.08,2024-01-01
165,215,161.25,189.2,2024-01-01
166,89,66.75,78.32,2024-01-01
167,176,132.0,154.88,2024-01-01
168,108,81.0,95.04,2024-01-01
169,232,174.0,204.16,2024-01-01
170,84,63.0,73.92,2024-01-01
171,130,97.5,114.4,2024-01-01
172,189,141.75,166.32,2024-01-01
173,179,134.25,157.52,2024-01-01
174,49,36.75,43.12,2024-01-01
175,174,130.5,153.12,2024-01-01
176,73,54.75,64.24,2024-01-01
177,67,50.25,58.96,2024-01-01
178,38,28.5,33.44,2024-01-01
179,36,27.0,31.68,2024-01-01
180,58,43.5,51.04,2024-01-01
181,57,42.75,50.16,2024-01-01
182,189,141.75,166.32,2024-01-01
183,71,53.25,62.48,2024-01-01
184,118,88.5,103.84,2024-01-01
185,66,49.5,58.08,2024-01-01
186,209,156.75,183.92,2024-01-01
187,37,27.75,32.56,2024-01-01
188,37,27.75,32.56,2024-01-01
189,40,30.0,35.2,2024-01-01
190,65,48.75,57.2,2024-01-01
191,207,155.25,182.16,2024-01-01
192,194,145.5,170.72,2024-01-01
193,192,144.0,168.96,2024-01-01
194,40,30.0,35.2,2024-01-01
195,208,156.0,183.04,2024-01-01
196,47,35.25,41.36,2024-01-01
197,218,163.5,191.84,2024-01-01
198,41,30.75,36.08,2024-01-01
199,46,34.5,40.48,2024-01-01
200,249,186.75,219.12,2024-01-01
