order_id,invoice_date,invoice_amount,invoice_status
166,2024-04-15,9313.92,Generated
167,2024-09-14,4798.64,Generated
168,2024-10-13,6079.92,Generated
169,2024-05-19,11603.68,Generated
170,2024-06-23,14938.88,Generated
171,2024-11-13,479.6,Generated
172,2024-06-23,12964.16,Generated
173,2025-03-01,7330.4,Generated
174,2025-03-02,19880.08,Generated
175,2024-11-29,10486.08,Generated
176,2025-02-14,13588.08,Generated
177,2024-09-14,2478.08,Generated
178,2024-08-19,9179.28,Generated
179,2024-08-06,3310.56,Generated
180,2024-04-07,3581.6,Generated
181,2024-10-29,5283.52,Generated
182,2025-01-01,14380.96,Generated
183,2024-04-11,2807.2,Generated
184,2024-09-22,19647.76,Generated
185,2024-07-28,19759.52,Generated
186,2025-01-04,36585.12,Generated
187,2024-09-30,10661.2,Generated
188,2024-09-16,21262.56,Generated
189,2024-04-01,1337.6,Generated
190,2024-08-01,5459.52,Generated
191,2024-09-23,1888.48,Generated
192,2024-05-11,3453.12,Generated
193,2024-12-29,13918.08,Generated
194,2024-06-22,7149.12,Generated
195,2024-05-24,11970.64,Generated
196,2024-04-19,2914.56,Generated
197,2024-09-08,10320.64,Generated
198,2024-11-04,13640.0,Generated
199,2025-02-16,19907.36,Generated
200,2024-09-20,12875.28,Generated
201,2024-10-05,11302.72,Generated
202,2024-05-03,19954.0,Generated
203,2025-01-01,12426.48,Generated
204,2024-06-02,7733.44,Generated
205,2024-11-21,7379.68,Generated
206,2024-06-22,853.6,Generated
207,2024-07-18,15785.44,Generated
208,2024-12-28,16434.88,Generated
209,2024-04-28,6314.88,Generated
210,2025-02-27,14023.68,Generated
211,2025-03-06,4097.28,Generated
212,2025-01-01,4628.8,Generated
213,2024-08-04,16485.92,Generated
214,2024-10-26,17190.8,Generated
215,2024-12-22,16337.2,Generated
216,2025-03-20,4321.68,Generated
217,2025-02-18,6336.0,Generated
218,2024-05-16,9655.36,Generated
219,2025-02-26,21511.6,Generated
220,2024-07-18,13293.28,Generated
221,2024-07-21,4348.96,Generated
222,2024-08-26,23512.72,Generated
223,2024-04-07,9460.0,Generated
224,2024-08-12,11179.52,Generated
225,2024-11-07,4189.68,Generated
226,2024-05-31,21235.28,Generated
227,2024-06-30,12136.96,Generated
228,2025-02-07,10107.68,Generated
229,2024-11-11,7339.2,Generated
230,2025-02-09,18036.48,Generated
231,2025-03-18,18760.72,Generated
232,2024-06-25,3550.8,Generated
233,2025-03-20,3594.8,Generated
234,2024-08-24,14534.96,Generated
235,2024-10-18,8609.04,Generated
236,2024-08-06,4236.32,Generated
237,2024-09-22,2349.6,Generated
238,2024-08-10,8338.0,Generated
239,2024-04-15,5605.6,Generated
240,2024-05-17,6087.84,Generated
241,2025-03-20,5074.08,Generated
242,2024-07-17,5026.56,Generated
243,2025-02-23,4278.56,Generated
244,2024-08-11,3243.68,Generated
245,2025-02-11,8236.8,Generated
246,2025-03-02,7744.0,Generated
247,2025-02-24,11172.48,Generated
248,2025-01-28,26106.96,Generated
249,2024-06-12,2611.84,Generated
250,2025-03-02,17556.0,Generated
251,2024-05-06,12213.52,Generated
252,2025-02-01,9039.36,Generated
253,2024-05-05,4551.36,Generated
254,2025-03-22,4232.8,Generated
255,2024-10-18,17774.24,Generated
256,2024-09-03,15688.64,Generated
257,2024-05-10,16200.8,Generated
258,2024-05-03,1316.48,Generated
259,2024-05-05,16838.8,Generated
260,2024-12-31,16096.96,Generated
261,2024-04-08,9408.96,Generated
262,2024-05-08,2883.76,Generated
263,2024-10-03,14170.64,Generated
264,2024-05-09,22828.08,Generated
265,2024-06-12,9865.68,Generated
266,2025-01-11,20424.8,Generated
267,2024-05-28,16976.96,Generated
268,2024-12-09,4247.76,Generated
269,2025-02-26,3215.52,Generated
270,2024-12-18,15818.88,Generated
271,2025-03-19,13842.4,Generated
272,2024-08-19,1742.4,Generated
273,2024-11-17,8211.28,Generated
274,2024-07-01,12987.92,Generated
275,2024-05-22,12840.08,Generated
276,2024-08-09,19683.84,Generated
277,2024-09-03,9105.36,Generated
278,2024-10-20,7568.88,Generated
279,2024-10-27,11407.44,Generated
280,2025-03-23,10516.88,Generated
281,2025-03-20,10127.92,Generated
282,2024-06-28,19644.24,Generated
283,2024-11-14,23522.4,Generated
284,2024-05-19,20493.44,Generated
285,2024-11-22,7595.28,Generated
286,2024-09-23,15852.32,Generated
287,2024-09-13,14362.48,Generated
288,2024-07-15,23940.4,Generated
289,2024-04-16,7154.4,Generated
290,2024-10-16,4031.28,Generated
291,2024-07-25,2917.2,Generated
292,2024-05-25,17074.64,Generated
293,2024-07-16,26578.64,Generated
294,2024-09-27,12540.88,Generated
295,2025-03-10,20231.2,Generated
296,2024-09-19,5475.36,Generated
297,2024-08-21,9203.92,Generated
298,2025-02-14,11893.2,Generated
299,2024-04-06,19129.44,Generated
300,2024-07-07,6200.48,Generated
